Loại hàng,Nhóm hàng(3 Cấp),Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Giá bán,Giá vốn,Tồn kho,KH đặt,Dự kiến hết hàng,Tồn nhỏ nhất,Tồn lớn nhất,ĐVT,Mã ĐVT Cơ bản,Quy đổi,Thuộc tính,Mã HH Liên quan,"Hình ảnh (url1,url2...)",Trọng lượng,Đang kinh doanh,Được bán trực tiếp,Mô tả,Mẫu ghi chú,Vị trí,Hàng thành phần
Hàng hóa,tắc kê>>Đinh ốc tắc kê sau,SP001101,,Đinh tắc kê sau CA 16T 22x22x130 trắng Inox chụp (T),,"65,000.0","51,000.0",30.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,có khía 2 đầu ren hộp nhựa (0027T-01),,,
Hàng hóa,động cơ>>hệ thống làm mát>>Bơm nước,SP001100,,Bơm nước YZ 4102 buly 1 rãnh Guanheng (BNU024-N7-1) (T),,"550,000.0","435,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Bầu sấy nguyên cụm/ Lọc hơi nguyên cụm,SP001099,,Bình sấy hơi (Howo) FAW 15T ngắn 4 núm phi 16 STAR (T),,"1,000,000.0","795,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Trục ắc phi dê,SP001098,,Trục ắc phi nhê 1041 Sam Tin Rin (T),,"230,000.0","179,000.0",0.0,0.0,0 ngày,0.0,"999,999,999.0",Bộ,,1.0,,,,0.0,1,1,,,,
Hàng hóa,bộ ly hợp>>Bàn ép,SP001097,,Bàn ép 325 EQ140 MT Korea (MP),,"1,000,000.0","692,000.0",1.0,0.0,67 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,bộ ly hợp>>Lá côn,SP001096,,Lá côn 325 EQ140 XL0101C Tiuliu (MP),,"650,000.0","502,000.0",2.0,0.0,55 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Phớt,SP001095,,Phớt 154*175*13 sât XFJP (MP),,"30,000.0","16,800.0",16.0,0.0,365 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây ga,SP001094,,"Dây ga 1041 2,5m Korea (MP)",,"70,000.0","29,500.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây ga,SP001093,,"Dây ga Truofng Hải 1,8m Korea (MP)",,"70,000.0","29,500.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây ga,SP001092,,"Dây ga Cửu Long 2,2m Korea (MP)",,"70,000.0","29,500.0",3.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Cụm đi số,SP001091,,Cụm đi số DF phi 12 (MP),,"350,000.0","168,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Cụm đi số,SP001090,,Cụm đi số Chiến Thắng (JAC) cần ngắn phi 10+phi 12 (MP),,"350,000.0","220,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Cụm đi số,SP001089,,Cụm đi số Chiến Thắng (JAC) cần dài phi 10+phi 12 (MP),,"350,000.0","230,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Cụm đi số,SP001088,,Cụm đi số Thaco Foton dày (MP),,"350,000.0","226,000.0",2.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,(2810173X0010/1307217300001),,,
Hàng hóa,Cụm đi số,SP001087,,Cụm đi số Trường Hải đời mới (118917300018) phi 12 (MP),,"350,000.0","218,000.0",1.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây số chính,SP001086,,"Dây số chính 2,2m (2 đầu ốc chỉnh 8/8) Korea (MP)",,"100,000.0","71,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
Hàng hóa,Dây số chính,SP001085,,"Dây số chính 2,77m FD 1,5T Korea (MP)",,"120,000.0","83,000.0",4.0,0.0,0 ngày,0.0,"999,999,999.0",Cái,,1.0,,,,,1,1,,,,
